,section_title,section_text
955,Overview,"Wrike Reports are customizable reports which you can build to quickly gather the data you need from your tasks and Projects. Each time you open or refresh your report, it automatically updates to include the most up-to-date data which meets your report’s criteria.
For example, you can create a report to see all active tasks from your team’s Folder. Whenever you open or refresh the report it automatically updates so that you see only tasks which are currently active.
Please note, External Users and Collaborators are not able to create Wrike Reports, but they can view reports shared with them and Report snapshots.[OLD]Collaborators"
956,Benefits of Wrike Reports,"Save time: Wrike Reports automatically update with new information each time they’re opened, which means that you don’t have to spend time putting together weekly reports.
Gain big picture visibility: gain insights into the performance of all of your projects and teams.
Manage expectations: see what is bogging down the team, what is past due, and where breakdowns occur."
957,Create a Wrike Report,"Select the Reports tab 1 from the top of the Workspace.
Click “+ New Report From Scratch” 2 or select one of the Report templates.
Use Wrike’s Report Builder to specify the type of data you want to add to your Report.
After setting your Report’s parameters, click “Save and View”.
You will be taken to your new report and it will also be added to the top of the list of reports in the Reports section of your Workspace.
Please note, you can leave the Report Builder or click “Cancel” in the Report Builder’s upper right-hand corner at any point before saving to delete your report before it is created."
958,Wrike’s Report Builder,"Wrike’s Report Builder is made up of four panels which walk you through the process of creating a report.
Enter a name for your report in the “New Report” field at the top of the Report Builder. Make sure to name it something descriptive so that later you can easily find your report on the Reports tab.
Use this panel to choose what you want to report on: Projects, tasks, or timelog entries. What you choose to report on dictates what data is included in your report.
Project Reports: include Projects which match the criteria you designate in the Report Builder.
Task Reports: include tasks which match the criteria you designate in the Report Builder.
Timelog Reports: include Timelog entries which match the criteria you designate in the Report Builder.
Please note, reports on tasks automatically include data from subtasks as well.
Check the box to the left of each Folder or Project to include data from that Folder or Project in your report. Please note:
Projects or Folders with Subprojects or Subfolders are denoted with an arrow to the left of their name. Click the arrow to see the Subprojects and Subfolders. 1
To include data that lives directly in a parent Folder or Project you must check the box next to that Folder/Project 2. When you check or uncheck the box next to a parent Folder or Project, its Subfolders and Subprojects are automatically selected or deselected.
To include only certain Subfolders or Subprojects: click the arrow next to the parent Folder or Project and then check the box next to the appropriate Subfolders and Subprojects 3
This step is optional, but adding filters allows you to decide what type of information you want to include in your report.
The type of filters you can add depends on whether you’re reporting on tasks or Projects.
Projects
Tasks
Timelog Entries
Project Owner
Status
User
Status
Assigned to
Date
Start Date
Tasks to do
Category
Finish Date
Task Type
Project Creator
Due Date
Created Date
Start Date
Health
Completed Date
Progress
Last Modified Date
Approvals
Created Date
+ Custom Fields
Author
Approvals
Reviews
+ Custom Fields
Add a Filter
Click the dropdown arrow to the left of a filter category.
Check the box next to a filter you would like to apply.
Repeat this process with all filters you would like to apply.
Only tasks which meet the chosen filter criteria are included in your report.
Please note, you must click the “Add more filters” button on the Filters panel to see Custom Fields and be able to apply them as filters.
Use this tab to choose how you would like to format your report: as a column chart or as a table chart. Then specify which Groupings you would like to add to your report. Groupings dictate how data is organized on your report, but the exact way that Groupings affect a report depends on the format you choose.
The screenshot below shows a column chart report (left) and table chart report (right). Both reports have “Assignee” and “Status” Groupings applied:
Please note, Timelog Reports are only available in the Table View.
Add a Grouping
Click the dropdown field under “Group by”.
Select the Grouping you would like to add.
Please note, for column charts you can add up to two Groupings and for table charts you can add up to 10."
959,Name your Report,Enter a name for your report in the “New Report” field at the top of the Report Builder. Make sure to name it something descriptive so that later you can easily find your report on the Reports tab.
960,Report Type,"Use this panel to choose what you want to report on: Projects, tasks, or timelog entries. What you choose to report on dictates what data is included in your report.
Project Reports: include Projects which match the criteria you designate in the Report Builder.
Task Reports: include tasks which match the criteria you designate in the Report Builder.
Timelog Reports: include Timelog entries which match the criteria you designate in the Report Builder.
Please note, reports on tasks automatically include data from subtasks as well."
961,Source Data,"Check the box to the left of each Folder or Project to include data from that Folder or Project in your report. Please note:
Projects or Folders with Subprojects or Subfolders are denoted with an arrow to the left of their name. Click the arrow to see the Subprojects and Subfolders. 1
To include data that lives directly in a parent Folder or Project you must check the box next to that Folder/Project 2. When you check or uncheck the box next to a parent Folder or Project, its Subfolders and Subprojects are automatically selected or deselected.
To include only certain Subfolders or Subprojects: click the arrow next to the parent Folder or Project and then check the box next to the appropriate Subfolders and Subprojects 3"
962,Filters,"This step is optional, but adding filters allows you to decide what type of information you want to include in your report.
The type of filters you can add depends on whether you’re reporting on tasks or Projects.
Projects
Tasks
Timelog Entries
Project Owner
Status
User
Status
Assigned to
Date
Start Date
Tasks to do
Category
Finish Date
Task Type
Project Creator
Due Date
Created Date
Start Date
Health
Completed Date
Progress
Last Modified Date
Approvals
Created Date
+ Custom Fields
Author
Approvals
Reviews
+ Custom Fields
Add a Filter
Click the dropdown arrow to the left of a filter category.
Check the box next to a filter you would like to apply.
Repeat this process with all filters you would like to apply.
Only tasks which meet the chosen filter criteria are included in your report.
Please note, you must click the “Add more filters” button on the Filters panel to see Custom Fields and be able to apply them as filters."
963,Layout,"Use this tab to choose how you would like to format your report: as a column chart or as a table chart. Then specify which Groupings you would like to add to your report. Groupings dictate how data is organized on your report, but the exact way that Groupings affect a report depends on the format you choose.
The screenshot below shows a column chart report (left) and table chart report (right). Both reports have “Assignee” and “Status” Groupings applied:
Please note, Timelog Reports are only available in the Table View.
Add a Grouping
Click the dropdown field under “Group by”.
Select the Grouping you would like to add.
Please note, for column charts you can add up to two Groupings and for table charts you can add up to 10."
964,Open a Saved Wrike Report,"Open a saved Wrike Report from the Reports tab. Click a Report column header to sort by that segment.
Select the Reports tab from the top of the Workspace. Recently viewed or created reports appear at the top of the Reports view.
Select your report from the list that appears.
Your report will open and contains the most up-to-date data matching the criteria you specified in the Report Builder."
965,Edit a Saved Wrike Report,"Select the Reports tab from the top of the Workspace.
Select your report from the list that appears.
Your report will open and will have the most up-to-date data matching the criteria you selected in the Report Builder.
Click the “Edit” button in the report’s upper right-hand corner so that the Report Builder opens.
Edit your report using the Report Builder.
Click “Save and View” to save your changes and view your edited report."
966,Delete a Wrike Report,"Select the Reports tab from the top of the Workspace.
Right click on the report you want to delete.
Click the “Delete” option that appears.
Please note, immediately after a report is deleted, an “Undo” link is temporarily available at the bottom of the Workspace."
967,Share a Wrike Report,Regular Users can share Wrike Reports with any other member of their Wrike account. More details on our Share Reports page.
968,Export Table Charts to Excel,"Table Report creators and all users (including Collaborators) who a table Report is shared with can export table Reports to Excel.
Click the menu button in the table chart’s upper right-hand corner.
Select “Export to Excel” to the dropdown menu that appears.
All data from your report is automatically exported to an .xls file and is saved in the default folder for downloaded files on your computer.
Please note, if you have added Groupings to your table, those Groupings are preserved when you export data to Excel."
969,More Info,"Monitoring Allocated Time vs. Time Spent
Build a Report Based on Project Statuses
Track Production Costs
Analyze Team Performance
Analyzing What Your Team Worked On
Develop New Management Habits
10 Signs You're Making the Most of Wrike"
970,Overview,"Wrike Report table charts show you the number of tasks or Projects that meet the criteria you select in the Report Builder. Table charts can have up to ten Groupings, allowing you to build complex reports which capture a high level of detail."
971,Best Practices,"Table charts are best used when you need to:
View a count of the number of tasks or Projects which meet specified criteria.
Access tasks and Projects directly from the report (this allows for quick editing).
Export your report to Excel.
Use table charts to:
Track team performance. Keep an eye on how team members are doing, based on key metrics.
Monitor accomplishments. Run reports on the work completed last week, month, or quarter."
972,Groupings on Table Charts,"Groupings are available when viewing tasks in custom grouping mode. 
Groupings dictate how Tasks or Projects are organized on table charts.
Add a Grouping: click the ""+"" icon 1 above the table chart to add a new grouping to your chart
Remove a Grouping: hover over a grouping and click the 'x' 2 that appears to the right of the grouping's name.
Table Chart Grouping Options
 Projects
Tasks
Timelog Entries
Project Owner
Assigned to
Date
Status
Status Group
Parent Folder
Start Date
Status
Task Title
Finish Date
Workflow
User
Parent Folder
Start Date
Comment
Created Date
Due Date
Time Spent
Author
Duration
Project Creator
Parent Folder
+ Custom Fields
Author
Importance
Created Date
Completed Date
+ Custom Fields"
973,Edit Groupings from the Table Chart,"Add a Grouping: click the ""+"" icon 1 above the table chart to add a new grouping to your chart
Remove a Grouping: hover over a grouping and click the 'x' 2 that appears to the right of the grouping's name.
Table Chart Grouping Options
 Projects
Tasks
Timelog Entries
Project Owner
Assigned to
Date
Status
Status Group
Parent Folder
Start Date
Status
Task Title
Finish Date
Workflow
User
Parent Folder
Start Date
Comment
Created Date
Due Date
Time Spent
Author
Duration
Project Creator
Parent Folder
+ Custom Fields
Author
Importance
Created Date
Completed Date
+ Custom Fields"
974,Display Options: Structured (Hierarchical) or Custom Grouping,"Use the hierarchical view to see items organized by Folder, Project, and Task location. This is the same way items are displayed on the Table View.[OLD]Old Table View Overview
Switch to this view: Click the  button in the chart's upper left-hand corner. Note! You can't use Groupings when you're using this view.
Use custom grouping when you want to display tasks based on applied Groupings.
Switch to this view: Click the  button in the chart's upper left-hand corner."
975,Structured (Hierarchical) View,"Use the hierarchical view to see items organized by Folder, Project, and Task location. This is the same way items are displayed on the Table View.[OLD]Old Table View Overview
Switch to this view: Click the  button in the chart's upper left-hand corner. Note! You can't use Groupings when you're using this view."
976,Custom Grouping View,"Use custom grouping when you want to display tasks based on applied Groupings.
Switch to this view: Click the  button in the chart's upper left-hand corner."
977,Edit and Adjust Table Charts,"Edit a Report
Refresh a Report
Expand or Collapse all Sections
Expand or Collapse Individual Sections
Add or Remove Columns
Change Column Order
If you need to change which Folders and/or Projects information is pulled from, which filters are applied, or what Groupings are being used, you can edit your Report by returning to the Report Builder.
To do this: click “Edit” 1 in the chart’s upper right-hand corner.
When you want (or need) to you can refresh your report to ensure that you are seeing the most up-to-date data.
To do this: click the refresh icon 2 in the chart’s upper right-hand corner.
Collapse all sections (either Groupings or Folders/Projects depending on what View you're in) to get an overview of the number of tasks in a section or expand all sections to see a more detailed view.
To do this: click ""Expand all"" 3 or ""Collapse all"" 4 in the chart’s upper right-hand corner to expand or collapse sections respectively.
Customize your view so that you see only the Groupings, or Folders/Projects/Tasks you are interested in.
To do this: click the carrot icon 5 to the left of each Grouping or Folder/Project name to expand or collapse that section.
You can add or remove columns related to: Project or Task attributes (depending on which type of report you built) and Custom Fields.
To do this: click the gear icon 6 in the table’s left-hand corner and check or uncheck the box next to each column name to add or remove that column from the report.
Rearrange the order of columns on the table report to see data in the sequence which best suits your needs.
To do this: click on a column and drag it to appropriate location on the table chart."
978,Edit a Report,"If you need to change which Folders and/or Projects information is pulled from, which filters are applied, or what Groupings are being used, you can edit your Report by returning to the Report Builder.
To do this: click “Edit” 1 in the chart’s upper right-hand corner."
979,Refresh a Report,"When you want (or need) to you can refresh your report to ensure that you are seeing the most up-to-date data.
To do this: click the refresh icon 2 in the chart’s upper right-hand corner."
980,Expand or Collapse all Sections,"Collapse all sections (either Groupings or Folders/Projects depending on what View you're in) to get an overview of the number of tasks in a section or expand all sections to see a more detailed view.
To do this: click ""Expand all"" 3 or ""Collapse all"" 4 in the chart’s upper right-hand corner to expand or collapse sections respectively."
981,Expand or Collapse Individual Sections,"Customize your view so that you see only the Groupings, or Folders/Projects/Tasks you are interested in.
To do this: click the carrot icon 5 to the left of each Grouping or Folder/Project name to expand or collapse that section."
982,Add or Remove Columns,"You can add or remove columns related to: Project or Task attributes (depending on which type of report you built) and Custom Fields.
To do this: click the gear icon 6 in the table’s left-hand corner and check or uncheck the box next to each column name to add or remove that column from the report."
983,Change Column Order,"Rearrange the order of columns on the table report to see data in the sequence which best suits your needs.
To do this: click on a column and drag it to appropriate location on the table chart."
984,Text Wrapping,"Users can enable the option to have text in Report cells wrapped. When you enable text wrapping: all text in that field becomes visible (instead of cutting off if the text is long).
To enable text wrap: click the menu button in the upper right-hand corner and select ""Text Wrap"".
Note, that text wrap works with Reports that are 500 lines or less."
985,Undefined Data,"A ""none"" section is added to Reports if there are tasks or Projects which meet the Report's criteria, but the tasks/Projects don't have information entered in the field that you're grouping by. For example,
A task without a designated start date would have undefined start date data and, if you're grouping by start date, that task would go in the ""None"" section.
If a Project report is grouped by a Custom Field and the Project doesn’t have data entered for that Custom Field, then that Project appears in the “None” section."
986,More Info,"Monitoring Allocated Time vs. Time Spent
Build a Report Based on Project Statuses
Track Production Costs
Analyze Team Performance
Analyzing What Your Team Worked On
Develop New Management Habits
10 Signs You're Making the Most of Wrike"
987,Overview,Wrike Report column charts show the number of tasks or Projects that meet the criteria you select in the Report Builder. Each column chart has two Groupings and those groupings are used to divide your data into columns (Grouping one) and then to further divide those columns into segments (Grouping two).
988,Best Practices,"Column charts are best used when you need to:
View a count of the number of tasks or Projects which meet specified criteria and see that data in a simple view.
Compare the number of tasks or Projects within a specified Grouping at a glance.
Use column charts to:
Monitor Project progress by project owner. You can see how many Projects each owner has and what the statuses of their projects are.
Track task progress by assignee. Stay up to date with how much each assignee has on their plate and what statuses their tasks are in."
989,Undefined Columns,"Undefined data refers to task or Project attributes which do not have data entered for that attribute. For example, a task without a designated start date would have undefined start date data. If you create a column chart, add a Grouping, and there are tasks or Projects which match the report criteria but which have undefined data for the selected grouping, then a column (or segment) is added to the chart to capture those tasks.
For example, if a Project report is grouped by a Custom Field and the Project doesn’t have data entered for that Custom Field, then it appears in the “Undefined” column or segment. There is also a “None” column that is used when there are tasks without an assignee or Projects without a project owner."
990,Edit Column Charts,"When you want (or need) to you can refresh your report to ensure that you are seeing the most up-to-date data.
To do this: click the refresh icon 1 in the chart’s upper right-hand corner.
If you need to change which Folders and/or Projects information is pulled from, which filters are applied, or what Groupings are being used, you can edit your Report by returning to the Report Builder.
To do this: click “Edit” 2 in the chart’s upper right-hand corner.
If you need more room to see your columns in their entirety, you can flip your chart’s axis and view the chart horizontally instead of vertically.
To do this: click the  icon 3 in the chart’s upper right-hand corner and select “Flip axis” from the dropdown list which appears.
If you need to compare segments side by side as columns, you can turn segments into columns.
To do this: click the  icon 3 in the chart’s upper right-hand corner and select “Side by side view” from the dropdown list which appears.
Hide some segments to simplify your view and see only certain segments at one time.
To do this: from the chart’s key 4 (located at the top of the column chart) click a segment title to hide (or view) that segment on the chart."
991,Refresh a Report,"When you want (or need) to you can refresh your report to ensure that you are seeing the most up-to-date data.
To do this: click the refresh icon 1 in the chart’s upper right-hand corner."
992,Edit a Report,"If you need to change which Folders and/or Projects information is pulled from, which filters are applied, or what Groupings are being used, you can edit your Report by returning to the Report Builder.
To do this: click “Edit” 2 in the chart’s upper right-hand corner."
993,Flip the Chart’s Axis,"If you need more room to see your columns in their entirety, you can flip your chart’s axis and view the chart horizontally instead of vertically.
To do this: click the  icon 3 in the chart’s upper right-hand corner and select “Flip axis” from the dropdown list which appears."
994,View Segments as Columns,"If you need to compare segments side by side as columns, you can turn segments into columns.
To do this: click the  icon 3 in the chart’s upper right-hand corner and select “Side by side view” from the dropdown list which appears."
995,Hide Segments from View,"Hide some segments to simplify your view and see only certain segments at one time.
To do this: from the chart’s key 4 (located at the top of the column chart) click a segment title to hide (or view) that segment on the chart."
996,Groupings on Column Charts,"Column chart Grouping options depend on whether you are reporting on Projects or tasks:
Projects
Tasks
Project Owner
Assigned to
Project Creator
Status Group
Status
Workflow
+ Custom Fields
Status
Author
Importance
+ Custom Fields"
997,More Info,"Monitoring Allocated Time vs. Time Spent
Build a Report Based on Project Statuses
Track Production Costs
Analyze Team Performance
Analyzing What Your Team Worked On
Develop New Management Habits
10 Signs You're Making the Most of Wrike"
998,Overview,"If you create a report, you can share it with other members of your Wrike account (including External Users and Collaborators).
Everyone with access to a shared report sees the same data on the report, however they are only able to open Tasks, Folders, and Projects which are shared with them. Users cannot open Tasks, Folders, and Projects which are not shared with them (even though they appear on the report)."
999,Important Information,"If a Custom Field is visible on a Report, then anyone who the Report is shared with sees the field on the Report (same as the Report creator sees it). Even if a field is not shared with a person, they still see it on a Report."
1000,Who Reports Can be Shared With,"Regular Users can share reports with:
Regular Users
External Users
Collaborators
User Groups
Reports cannot be shared with people outside of your Wrike account."
1001,How to Share a Report,"Regular Users can share reports. If a report is shared with you, you automatically see it in the Reports tab.
Click the Reports tab. 1
Select the Report you want to share. 2
Click “Share” or “Shared” 3 in the upper right-hand corner (the text will say “Share” if the report is not shared, and “Shared” if the report is already being shared).
Select the users or User Groups 4 you would like to share the report with.
The report appears in the Reports list of all users who it is shared with.
To unshare a report: open the share dialogue box, hover over the name of the person you would like to stop sharing the report with, and click the “x” that appears."
1002,What Happens When you Share a Report,"Shared reports appear in the Reports tab. To the right of each Report name you can see the report owner and whether the report is shared or private.
If a Report is shared with you, you can
Open the report at any time to view it.
Change how data is viewed on the report. For example, you can select which columns to show, change groupings, expand/collapse groups, etc. These changes do not affect anyone else’s version of the report. Please note, these changes are not saved and the report resets to the original format after you exit it.
Export the report’s data to Excel.
If a Report is shared with you, you cannot
Share the report with any additional users or edit the report via the report builder."
1003,More Info,"Monitoring Allocated Time vs. Time Spent
Build a Report Based on Project Statuses
Track Production Costs
Analyze Team Performance
Analyzing What Your Team Worked On
Develop New Management Habits
10 Signs You're Making the Most of Wrike"
1004,Overview,"Report templates help you quickly create reports so that you can gain more visibility into your projects, see how work is progressing, or assess what work still needs to be assigned. Help team members, executives, or clients gain insight into projects by sharing reports with them.
Available report templates:
Active Tasks by Assignee
Weekly Project Status
Overdue Tasks by Assignee
Projects Due This Month
Unassigned Tasks
Time Spent This Week"
1005,Use a Template,"Click the Reports tab in the workspace. 1
Select a report template option. 2
Follow on-screen prompts to choose what is shown on your report. You will choose what folders and projects to report on and, for some reports, which users or user groups to include. 3
Click “Create Report”. 4"
1006,Available Templates,"Active Tasks by Assignee
Weekly Project Status
Overdue Tasks by Assignee
Projects Due this Month
Unassigned Tasks
Time Spent this Week
Team Utilization (Beta)
Active Tasks by Assignee
What the report shows: All active tasks, grouped by assignee and within specified folders or projects (you will choose the folders/projects).
When to use:
To see how many tasks each team member has assigned to them.
To see how tasks within a project are assigned and check who is working on what.
To see how many and which tasks are assigned to you and what is on your to-do list.
Weekly Project Status
What the report shows: Selected projects (you will select the projects), with columns so you can see the project’s status, finish date, and owner.
When to use:
To see how a project (or projects) are progressing.
Monitor which projects the team is working on, and who is the right contact person for each.
Overdue Tasks by Assignee
What the report shows: Overdue tasks from specified folders or projects (you will choose the folders/projects), grouped by assignee. You have the option to see all assignees or only specific users.
When to use:
To see which overdue tasks you (or teammates have).
To monitor what projects are falling behind and which team members may need help.
Projects Due This Month
What the report shows: Selected projects that are due this month. The report includes owner, status, and finish date columns so you can track progress over the course of the month.
When to use:
Track project status as the due date approaches.
Monitor which projects are due that month.
See if any key project deadlines were missed.
Unassigned Tasks
What the report shows: Unassigned tasks from specified folders/projects (you will choose the folders/projects). Columns on the report show task name, status, and due date.
When to use:
To see which tasks need to be assigned
Time Spent This Week
What the report shows: A list of Timelog entries for this week from specified folders and projects. You have the option to select users and groups whose Timelog entries you want to include in the report.
When to use:
To see how much time was spent on a project this week.
Team Utilization (Beta)
Team Utilization report template is only available for accounts with the Wrike for Professional Services package or Wrike Resource add-on enabled.
What the report shows:
The total capacity of each employee for the chosen time period. Note: Currently, default capacity on the report is 8 hours per day or 40 hours per week, and it can’t be changed.
The total amount of time each employee spent performing tasks, based on the timelog entries.
The total amount of billable and non-billable working time.
Billable utilization of each employee, calculated by dividing total billable time by capacity.
Total utilization of each employee, calculated by dividing total time spent by capacity.
When to use:
To see how much of your employees’ time is spent on billable and non-billable tasks.
To check the overall utilization of your employees’ capacity.
To check the productive utilization of each employee."
1007,Overview,"Report Snapshots capture what your Report looks like at the moment the snapshot is taken. When you create a Snapshot, a link is generated and saved in Wrike. Regular users on Business and Enterprise accounts can create a Report Snapshot, and anyone with a Snapshot link is able to view it. To share your Snapshot just share the Snapshot link.
Please note, you cannot edit a Report from a Snapshot."
1008,Important Information,"Snapshots are static, they do not automatically update.
You can only take a Report Snapshot for Reports which you created (not for Reports which are shared with you)."
1009,Create a Report Snapshot,"Select a Report (table or column).
Click the menu button in the upper right-hand corner of the screen.
Click ""Create"" (under the Snapshots heading).
Click in the “Name” field to rename your Snapshot if necessary.
Copy the link from the pop-up to share your Snapshot with others or click “Open in new tab” to view your Snapshot in a separate tab."
1010,View Report Snapshots,"Select a Report.
Click the menu button in the upper right-hand corner of the screen.
Click ""View all"" (under the Snapshots heading).
You will see a list of all the past Snapshots associated with that report. Click a Snapshot to view it."
1011,Email a Report Snapshot,"Select a Report (table or column).
Click the menu button in the screen's upper right-hand corner.
Click ""Send by email"".
Enter the email address(es) to send the Snapshot to.
Click ""Send"".
An email with a link to the Report Snapshot is sent to the specified email address(es)."
1012,Delete a Report Snapshot,"Select a Report.
Click the menu button in the upper right-hand corner of the screen.
Click ""View all"" (under the Snapshots heading).
Right-click the name of the Snapshot you would like to delete.
Select “Delete”."
1013,More Info,"Build Trust with Your Clients
Granting Access to Information"
1014,Overview,Calculated Fields in Wrike Reports allow you to make calculations based on data from Wrike fields (select system fields and Custom Fields).
1015,Important Information,"When you create a Calculated Field, data is calculated on a task-by-task basis, data at the Folder/Project level is calculated via the formula, it is not aggregated from tasks.
Fields should have unique names in order to be used in Calculated Field formulas."
1016,Create a Calculated Field,"Regular Users on Business and up accounts can create Calculated Fields from task and Project table Reports which they've created.
Open a Report.
Click the gear icon located in the Report’s upper left-hand corner.
Click ""+ New Field"" in the Calculated Fields section.
In the pop-up window that opens enter a field name and the formula you want to use. There’s a detailed explanation on how to write formulas below.
Click ""Create"".
The new Calculated Field is added to your Report as a new column."
1017,Write a Formula,"Calculated Fields are defined by formulas which trigger calculations on the data.
Example: ([Custom Field name x]-[Custom Field name y])*2
Reference a Field
Click the plus sign in the Formula field’s lower right-hand corner.
Select a field from the list.
Wrike Tip! If you know the name of the field you want to include in the formula, just type it’s name in brackets. For example: [Cost].
What You Can Include in Formulas
You can pull data from
Custom Fields: number, currency, percentage, duration, date
Default system fields: duration, time spent, date
Calculated Fields
You can also include
Constants (e.g. numbers)
Supported Operations
Addition: +
Subtraction: -
Multiplication: *
Division: /
Today: TODAY()
In addition to the above, use parentheses to designate order of operations."
1018,Possible Formulas and Resulting Data Types,"Custom Fields can have different data types (e.g. number, percentage, text, etc). A Calculated Field’s data type depends on the data types of the Custom Fields used in its formula.
The table below shows which Custom Fields can be included together in formulas and what the resulting data type would be.
Important note!
Duration Custom Fields and Time Spent are calculated by hours.
Duration system field (i.e. duration of tasks and Projects) is treated as days.
How to read the table
Find the intersection of the two Custom Field types you want to include in your formula. Operations that can be performed between those two Custom Field types are listed.
The color of operation designates what Calculated Field's data type is. Constant, Currency, Date, Days, Hours, Number, Percentage.
Constant
Currency
Date
Days
Hours
Number
Percentage
Constant
+, -, x, /
+, -,x, /
+, -
+, -, x, /
+, -,x, /
+, -, x, /
+, -,x, /
Currency
+, -,x, /
+, -, /
x, /
x, /
+, -,x, /
x, /
Date
+, -
-
+, - 
+, - 
Days
+, -, x, / 
x, / 
+, -
+, -, /
+, -, x, / 
x, / 
Hours
+, -,x, / 
x, / 
+, -, /
+, -,x, / 
 x, / 
Number
+, -, x, / 
+, -,x, / 
+, -
+, -, x, / 
+, -,x, / 
+, -, x, / 
+, -, x, / 
Percentage
+, -, x, / 
x, / 
x, / 
x, / 
+, -,x, / 
+, -, x, / "
1019,Add an Existing Calculated Field,"Add any existing Calculated Fields which reference fields included on the Report. You must be the Report creator to add Calculated Fields.
Add an existing field:
Open the Report where you want to add a calculated field.
Click the gear icon in the upper left-hand corner.
You’ll see all fields which you can add to the Report. Check the box to the left of a field’s name to add it."
1020,Edit a Calculated Field,"Edit any Calculated Fields in Reports you’ve created.
Hover over a field’s title in a Report.
Click the carrot icon.
Select ""Edit Field"".
A pop-up window opens where you can make changes to the field. Your changes are saved, and go into effect anywhere the Calculated Field is used."
1021,Delete a Calculated Field,"Delete Calculated Fields in Reports you’ve created.
Hover over a field’s title in a Report.
Click the carrot icon.
Select ""Edit Field"".
Click ""Delete"".
Click “Yes, delete” to confirm your decision.
The field is deleted and no longer available on any Report where it was previously added."
1022,More Resources,"Watch a video to see examples of Calculated Fields and see how to create a Calculated Field.
Calculated Fields in Reports"
1023,Overview,"Schedule Report reminders to receive an email and Inbox notification with a direct link to your Report. Click the link to see an up to date version of your Report. Schedule reminders on a daily, weekly, or multiple days per week basis."
1024,Important Information,"You can only subscribe yourself to Reports (set up Report reminders for yourself), you cannot subscribe other users to Report Reminders.
Report reminders are sent on a recurring basis until you unsubscribe from a Report."
1025,Schedule a Report Reminder,"Click the Reports tab. 1
Select a Report. 2
Click “Subscribe” 3 in the upper right-hand corner.
Select the day(s) and time when you would like to receive a Report reminder. 4 You can choose to receive reminders weekly, multiple days a week, or daily.
Click Subscribe. 5
Your Report reminders are set up and you will receive an email and Inbox notification on the selected days/times."
1026,Unsubscribe from a Report,"Click the Reports tab. 1
Select a Report. 2
Click “Subscribed” 3 in the upper right-hand corner.
Deselect all dates when you’re scheduled to receive Report reminders. 4
Click “Unsubscribe”. 5
You are unsubscribed from Report reminders."
1027,Overview,"Create a dashboard, and then add widgets to it, to help you manage and monitor your tasks. Each widget shows tasks which meet specified criteria, you can use Wrike’s pre-built widgets or build Custom Widgets to see tasks which match the filters you apply."
1028,Important Information,"Users on Professional accounts can have up to 10 dashboards, users on Business accounts can have up to 50, and users on Enterprise accounts can have up to 200 dashboards.
If you share a dashboard with someone, they must have access to the folder the widgets are based on. If they don't have access to those folders, then they won't see the tasks in the widget."
1029,Navigate the Dashboard View,"Click the Dashboard tab at the top of the Workspace to view, create, and share your dashboards. On the Dashboard tab:
Dashboard names appear in the upper left-hand corner. Click the current dashboard’s name and select a different dashboard from the list to view that dashboard’s widgets.
Each widget appears as an individual panel; the widget’s name is listed at the top of its panel.
To open a widget in the List view: hover over its name, click the menu button in the upper right-hand corner and select ""Open in List View""."
1030,"Create, Delete, and Duplicate Dashboards","Select the Dashboards tab (at the top of the workspace). 1
Click the dashboard's name (in the upper left-hand corner). 2
Select ""+ New Dashboard"". 3
Enter a name for your new dashboard.
Press “Enter” on your keyboard.
Your dashboard is created and you can begin adding widgets to it.
Select the dashboards tab (at the top of the workspace). 1
Open the dashboard you want to delete: click the current dashboard's name in the upper left-hand corner and select a dashboard from the list. 2
Click the menu button 3 that appears in the upper right-hand corner.
Select “Delete”. 4
The dashboard is deleted and if it is a shared dashboard it will also be deleted from the workspaces of the users with whom it was shared.
Select the Dashboards tab (at the top of the workspace). 1
Open the dashboard you want to duplicate: click the current dashboard's name in the upper left-hand corner and select a dashboard from the list. 2
Click the menu button 3 which appears in the upper right-hand corner.
Select “Duplicate”. 4
A duplicate of the dashboard is created."
1031,Create a Dashboard,"Select the Dashboards tab (at the top of the workspace). 1
Click the dashboard's name (in the upper left-hand corner). 2
Select ""+ New Dashboard"". 3
Enter a name for your new dashboard.
Press “Enter” on your keyboard.
Your dashboard is created and you can begin adding widgets to it."
1032,Delete a Dashboard,"Select the dashboards tab (at the top of the workspace). 1
Open the dashboard you want to delete: click the current dashboard's name in the upper left-hand corner and select a dashboard from the list. 2
Click the menu button 3 that appears in the upper right-hand corner.
Select “Delete”. 4
The dashboard is deleted and if it is a shared dashboard it will also be deleted from the workspaces of the users with whom it was shared."
1033,Duplicate a Dashboard,"Select the Dashboards tab (at the top of the workspace). 1
Open the dashboard you want to duplicate: click the current dashboard's name in the upper left-hand corner and select a dashboard from the list. 2
Click the menu button 3 which appears in the upper right-hand corner.
Select “Duplicate”. 4
A duplicate of the dashboard is created."
1034,Rearrange Dashboards,"Click the Dashboards tab from the top of the workspace.
Click the current dashboard's name in the upper left-hand corner.
Hover over the name of the dashboard you want to move.
Click and hold the
icon on the right.
Drag the title to the appropriate location.
Let go of your mouse when the title is in the correct place."
